"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.601022500E-1;-1.029506698E-1;7.900865376E-2;9.486125946E0;9.487013580E0
1.620999580E-1;-1.077390760E-1;7.182604820E-2;9.486125946E0;9.487009653E0
1.640976660E-1;-1.053448766E-1;6.464344263E-2;9.488520622E0;9.489325578E0
1.660953750E-1;-1.029506698E-1;6.464344263E-2;9.505280495E0;9.506057800E0
1.680930830E-1;-1.029506698E-1;6.464344263E-2;9.507674217E0;9.508451327E0
1.700907910E-1;-1.053448766E-1;7.182604820E-2;9.493309021E0;9.494165192E0
1.720885000E-1;-1.125274822E-1;7.661445439E-2;9.483732224E0;9.484709226E0
1.740862080E-1;-1.149216816E-1;7.422025502E-2;9.486125946E0;9.487112369E0
1.760839160E-1;-1.101332754E-1;6.943184882E-2;9.481337547E0;9.482231373E0
1.780816250E-1;-1.029506698E-1;6.224924326E-2;9.483732224E0;9.484495279E0
1.800793330E-1;-1.029506698E-1;6.464344263E-2;9.500492096E0;9.501269793E0
1.820770410E-1;-1.077390760E-1;6.703764945E-2;9.500492096E0;9.501339475E0
1.840747500E-1;-1.077390760E-1;6.943184882E-2;9.483732224E0;9.484598325E0
1.860724580E-1;-1.053448766E-1;6.943184882E-2;9.481337547E0;9.482176966E0
1.880701660E-1;-1.005564705E-1;6.943184882E-2;9.476549149E0;9.477336976E0
1.900678750E-1;-1.005564705E-1;6.703764945E-2;9.469367027E0;9.470138201E0
1.920655830E-1;-1.101332754E-1;6.464344263E-2;9.466972351E0;9.467833628E0
1.940632910E-1;-1.125274822E-1;6.703764945E-2;9.471760750E0;9.472666371E0
1.960610000E-1;-1.053448766E-1;7.422025502E-2;9.478943825E0;9.479819736E0
1.980587080E-1;-9.816227108E-2;7.661445439E-2;9.481337547E0;9.482155203E0
2.000564160E-1;-1.029506698E-1;7.661445439E-2;9.471760750E0;9.472630063E0
2.020541250E-1;-1.077390760E-1;7.422025502E-2;9.464578629E0;9.465482818E0
2.040518330E-1;-1.053448766E-1;7.422025502E-2;9.464578629E0;9.465455869E0
2.060495410E-1;-1.005564705E-1;7.422025502E-2;9.476549149E0;9.477373266E0
2.080472500E-1;-1.029506698E-1;7.422025502E-2;9.493309021E0;9.494157343E0
2.100449580E-1;-1.053448766E-1;7.661445439E-2;9.498097420E0;9.498990573E0
2.120426660E-1;-1.053448766E-1;7.900865376E-2;9.493309021E0;9.494222247E0
2.140403750E-1;-1.053448766E-1;7.661445439E-2;9.493309021E0;9.494202625E0
2.160380830E-1;-1.053448766E-1;6.943184882E-2;9.495702744E0;9.496540892E0
2.180357910E-1;-1.053448766E-1;6.943184882E-2;9.498097420E0;9.498935357E0
2.200335000E-1;-1.029506698E-1;7.422025502E-2;9.505280495E0;9.506127748E0
2.220312080E-1;-1.005564705E-1;7.900865376E-2;9.502885818E0;9.503746253E0
2.240289160E-1;-1.029506698E-1;7.900865376E-2;9.488520622E0;9.489408032E0
2.260266250E-1;-1.077390760E-1;7.661445439E-2;9.478943825E0;9.479865691E0
2.280243330E-1;-1.125274822E-1;7.422025502E-2;9.478943825E0;9.479902273E0
2.300220410E-1;-1.077390760E-1;7.182604820E-2;9.471760750E0;9.472645797E0
2.320197500E-1;-1.005564705E-1;6.943184882E-2;9.462183952E0;9.462972975E0
2.340174580E-1;-9.097966552E-2;6.703764945E-2;9.459790230E0;9.460465239E0
2.360151660E-1;-9.337386489E-2;7.182604820E-2;9.457395554E0;9.458129219E0
2.380128750E-1;-1.053448766E-1;7.422025502E-2;9.459790230E0;9.460667914E0
2.400105830E-1;-1.125274822E-1;6.703764945E-2;9.464578629E0;9.465484937E0
2.420082910E-1;-1.053448766E-1;6.224924326E-2;9.462183952E0;9.462975096E0
2.440060000E-1;-9.097966552E-2;6.464344263E-2;9.457395554E0;9.458054067E0
2.460037080E-1;-8.619125932E-2;6.943184882E-2;9.455001831E0;9.455649599E0
2.480014160E-1;-8.858546615E-2;6.943184882E-2;9.464578629E0;9.465247846E0
2.499991250E-1;-9.576806426E-2;6.464344263E-2;9.483732224E0;9.484436050E0
2.519968330E-1;-1.029506698E-1;6.464344263E-2;9.483732224E0;9.484511295E0
2.539945410E-1;-1.005564705E-1;6.224924326E-2;9.466972351E0;9.467711026E0
2.559922500E-1;-9.816227108E-2;5.985504389E-2;9.459790230E0;9.460488869E0
2.579899580E-1;-9.576806426E-2;6.224924326E-2;9.469367027E0;9.470055881E0
2.599876660E-1;-9.576806426E-2;6.464344263E-2;9.486125946E0;9.486829595E0
2.619853750E-1;-1.005564705E-1;7.182604820E-2;9.493309021E0;9.494113268E0
2.639830830E-1;-1.053448766E-1;7.661445439E-2;9.498097420E0;9.498990573E0
2.659807910E-1;-1.005564705E-1;7.422025502E-2;9.495702744E0;9.496525198E0
2.679785000E-1;-9.337386489E-2;7.182604820E-2;9.490914345E0;9.491645419E0
2.699762080E-1;-9.097966552E-2;6.943184882E-2;9.483732224E0;9.484422754E0
2.719739160E-1;-9.097966552E-2;7.182604820E-2;9.483732224E0;9.484440583E0
2.739716250E-1;-9.337386489E-2;6.943184882E-2;9.486125946E0;9.486839565E0
2.759693330E-1;-9.097966552E-2;6.703764945E-2;9.483732224E0;9.484405529E0
2.779670410E-1;-9.097966552E-2;6.703764945E-2;9.488520622E0;9.489193588E0
2.799647500E-1;-9.337386489E-2;6.943184882E-2;9.493309021E0;9.494022100E0
2.819624580E-1;-9.576806426E-2;6.943184882E-2;9.476549149E0;9.477287379E0
2.839601660E-1;-1.005564705E-1;7.422025502E-2;9.466972351E0;9.467797302E0
2.859578750E-1;-1.005564705E-1;7.422025502E-2;9.478943825E0;9.479767734E0
2.879555830E-1;-9.816227108E-2;7.661445439E-2;9.483732224E0;9.484549673E0
