"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.268137917E-1;4.017645264E-1;1.164727936E0;7.871680756E0;7.967519301E0
6.367937917E-1;-2.347119141E-1;-2.507286072E-1;1.221639587E1;1.222122263E1
6.467727917E-1;-1.012943573E0;1.891167297E0;8.847202148E0;9.103601171E0
6.567527917E-1;-1.344055023E0;-1.429527283E-1;9.775122528E0;9.868127473E0
6.667317917E-1;1.321302338E0;1.166673889E0;9.820478210E0;9.977412496E0
6.767117917E-1;1.273551636E0;4.791535950E-1;9.647288361E0;9.742776537E0
6.866907917E-1;5.731581116E-1;1.288071442E0;1.044123734E1;1.053598953E1
6.966707917E-1;-1.537901917E0;1.010249176E0;8.071066132E0;8.278155242E0
7.066497917E-1;-3.579057312E-1;9.892927551E-1;1.146944916E1;1.151759787E1
7.166297917E-1;5.014572144E-2;4.578977966E-1;8.592132568E0;8.604471341E0
7.266087917E-1;4.067042542E-1;3.546125793E-1;1.002600082E1;1.004051049E1
7.365887917E-1;-4.236190796E-2;1.159638519E0;9.203461304E0;9.276327721E0
7.465677917E-1;5.337899780E-1;9.360035706E-1;1.205563019E1;1.210368761E1
7.565477917E-1;1.161883850E0;-3.441343689E-1;8.437653809E0;8.524224559E0
7.665267917E-1;4.245172119E-1;7.408094788E-1;9.043444061E0;9.083660828E0
7.765067917E-1;-1.569336548E0;6.981481934E-1;1.228480362E1;1.240429877E1
7.864857917E-1;-1.067729645E0;1.445394287E0;5.603896637E0;5.884969733E0
7.964657917E-1;-2.246827698E-1;7.470964050E-1;1.182061890E1;1.184633557E1
8.064447917E-1;1.358425140E0;5.867797852E-2;1.031924103E1;1.040843395E1
8.164247917E-1;6.692582703E-1;1.285826111E-1;8.942853241E0;8.968782761E0
8.264037917E-1;-5.957611084E-2;1.121767273E0;1.119357285E1;1.124979929E1
8.363837917E-1;-1.347797241E0;1.110241241E0;8.308771820E0;8.490281631E0
8.463627917E-1;-2.288740540E-1;9.984237671E-1;1.029035110E1;1.034120685E1
8.563427917E-1;4.405339050E-1;7.529342651E-2;9.630373535E0;9.640738231E0
8.663227917E-1;8.842112732E-1;-9.729766846E-3;9.914482727E0;9.953838053E0
8.763017917E-1;-2.109114075E-1;1.785786438E-1;9.625583496E0;9.629549916E0
8.862817917E-1;-9.547146606E-1;9.675878906E-1;9.693093109E0;9.787939540E0
8.962607917E-1;-1.369651794E-1;1.131946106E0;1.000055374E1;1.006534334E1
9.062407917E-1;5.761518860E-1;6.418652344E-1;9.571994934E0;9.610776711E0
9.162197917E-1;4.950205994E-1;3.296145630E-1;9.806706848E0;9.824723424E0
9.261997917E-1;-1.299298096E-1;-3.472778320E-2;1.000324814E1;1.000415219E1
9.361787917E-1;-2.659968567E-1;3.074606323E-1;9.461824036E0;9.470554390E0
9.461587917E-1;-1.495390320E-1;2.029779053E-1;1.001761826E1;1.002079026E1
9.561377917E-1;4.939727783E-2;6.336323547E-1;9.470056915E0;9.491359651E0
9.661177917E-1;3.152444458E-1;4.114942932E-1;1.039558228E1;1.040849833E1
9.760967917E-1;4.314028931E-1;3.748205566E-1;9.305848389E0;9.323379920E0
9.860767917E-1;1.170565796E-1;3.191363525E-1;9.869875488E0;9.875727437E0
9.960557917E-1;-1.957928467E-1;-4.819976807E-2;1.018946091E1;1.019145582E1
1.006035792E0;2.350112915E-1;6.855743408E-2;9.391769714E0;9.394959755E0
1.016014792E0;5.306465149E-1;-6.017486572E-2;1.051847672E1;1.053202541E1
1.025994792E0;3.860472107E-1;5.704637146E-1;9.300609283E0;9.326081403E0
1.035973792E0;7.065307617E-2;3.457809448E-1;9.951904907E0;9.958160854E0
1.045953792E0;-5.418731689E-2;6.333329773E-1;9.642947388E0;9.663875064E0
1.055932792E0;2.287243652E-1;7.723937988E-2;9.863588562E0;9.866542458E0
1.065912792E0;5.249583435E-1;1.125659180E-1;9.796827393E0;9.811527878E0
1.075891792E0;-5.343887329E-2;-2.903961182E-1;9.275760956E0;9.280459414E0
1.085871792E0;-2.604583740E-2;2.213896179E-1;1.040291702E1;1.040530511E1
1.095851792E0;-1.031355286E-1;4.575984192E-1;9.453890533E0;9.465520560E0
1.105830792E0;2.612068176E-1;5.429209900E-1;9.583071899E0;9.601992462E0
1.115810792E0;3.278182983E-2;3.327580261E-1;9.829160156E0;9.834845801E0
1.125789792E0;-5.782475281E-1;1.197509766E-2;8.309520264E0;8.329624278E0
1.135769792E0;-2.981799316E-1;-1.200054474E0;9.540260925E0;9.620063437E0
1.145748792E0;2.009571075E0;1.609453125E0;1.458626770E1;1.481174941E1
1.155728792E0;-9.915380859E-1;1.440005493E0;5.655838623E0;5.919904909E0
1.165707792E0;-7.526348877E-1;1.395847321E0;1.044797333E1;1.056763908E1
1.175687792E0;3.007246399E-1;-8.779243469E-1;1.056817337E1;1.060883947E1
1.185666792E0;6.185137939E-1;-3.140469360E-1;8.293503571E0;8.322462752E0
1.195646792E0;3.682342529E-1;-3.778143311E-1;1.106499023E1;1.107756061E1
1.205625792E0;-2.152523804E-1;9.830058289E-1;8.698112183E0;8.756128687E0
1.215605792E0;-5.448669434E-1;2.004631348E0;8.509803772E0;8.759691037E0
1.225584792E0;6.985972595E-1;-7.529342651E-1;1.567435501E1;1.570797101E1
1.235564792E0;-1.794767761E-1;-1.152752838E0;5.165158997E0;5.295273220E0
1.245543792E0;-8.143066406E-1;-1.956581268E0;1.009755203E1;1.031755119E1
1.255523792E0;8.771759033E-1;1.881437531E0;1.174831924E1;1.193030804E1
1.265503125E0;3.712280273E-2;1.851200409E0;8.280480652E0;8.484967936E0
1.275483125E0;4.272116089E-1;2.179467773E0;9.045839081E0;9.314493771E0
1.285462125E0;-2.097138977E-1;6.065386963E-1;1.009006760E1;1.011045663E1
1.295442125E0;-2.492317200E-1;-1.589694214E-1;1.041564056E1;1.041983474E1
1.305421125E0;-5.393284607E-1;-1.440005493E-1;9.420959015E0;9.437482721E0
1.315401125E0;4.525090027E-1;1.037342834E0;1.056862244E1;1.062904628E1
1.325381125E0;4.101470947E-2;1.566043396E0;8.658893738E0;8.799466739E0
1.335360125E0;1.901046753E-1;1.366658020E0;1.024529480E1;1.033779278E1
1.345340125E0;-4.852908325E-1;5.903723145E-1;8.852291565E0;8.885218771E0
1.355319125E0;2.260299683E-2;3.472778320E-2;1.123249191E1;1.123256834E1
1.365299125E0;2.189945984E-1;3.240760803E-1;9.216334534E0;9.224630409E0
1.375278125E0;1.901046753E-2;3.791615295E-1;9.755064240E0;9.762448626E0
1.385258125E0;-5.831872559E-1;5.212161255E-1;9.405840454E0;9.438305371E0
1.395237125E0;1.869612122E-1;7.342231750E-1;1.069076843E1;1.071758218E1
1.405217125E0;4.236190796E-1;3.510200500E-1;9.198222198E0;9.214660049E0
1.415196125E0;4.592449951E-1;2.802172852E-1;9.939031677E0;9.953581183E0
1.425176125E0;-1.324745178E-1;3.429368591E-1;9.842033386E0;9.848897216E0
1.435155125E0;-6.369255066E-1;7.402107239E-1;9.383686523E0;9.434360539E0
1.445135125E0;-3.447331238E-1;7.818241882E-1;1.046818130E1;1.050299528E1
1.455114125E0;-1.496887207E-4;4.273612976E-1;8.836125183E0;8.846453863E0
1.465094125E0;3.692820740E-1;3.601510620E-1;1.038690033E1;1.039970079E1
1.475073125E0;-1.487905884E-1;6.533912659E-1;9.373807068E0;9.397729392E0
1.485053125E0;-2.716850281E-1;1.052311707E0;1.008333160E1;1.014173303E1
1.495032125E0;-3.390449524E-1;1.156794434E0;9.337582397E0;9.415071421E0
1.505012125E0;-2.070195007E-1;5.626799011E-1;9.404792633E0;9.423884030E0
1.514991125E0;1.711241455E0;1.124012604E0;1.378378647E1;1.393501062E1
1.524971125E0;8.123606873E-1;-5.450166321E-1;6.647676086E0;6.719268589E0
1.534950125E0;-3.237767029E-1;5.191204834E-1;7.548502808E0;7.573256371E0
1.544930125E0;-3.032693481E0;-3.098556519E-2;1.525732224E1;1.555583722E1
1.554910125E0;-1.567540283E0;2.194436646E-1;3.956721954E0;4.261570918E0
1.564889125E0;1.231489105E0;2.129172363E0;1.141915375E1;1.168105358E1
1.574869125E0;1.892065430E0;7.864645386E-1;1.045306274E1;1.065199318E1
1.584848125E0;1.860032043E0;4.236190796E-1;1.216759735E1;1.231623309E1
1.594828125E0;-9.714797974E-1;-2.218985596E0;1.082773361E1;1.109538126E1
1.604807125E0;-2.253264313E0;5.643264771E-2;5.221292267E0;5.687027136E0
1.614787125E0;-2.347119141E0;9.955796814E-1;1.301348831E1;1.326088327E1
1.624766125E0;1.229393463E0;2.823877716E0;1.023736130E1;1.069061551E1
1.634746125E0;1.031055908E0;1.533560944E0;5.266049194E0;5.580874445E0
1.644725125E0;9.375004578E-1;5.557942200E-1;1.283086807E1;1.287707225E1
1.654705125E0;-9.319619751E-1;-4.082011414E-1;9.895322571E0;9.947491647E0
1.664684125E0;-1.206042023E0;-2.139051819E-1;9.293424225E0;9.373794675E0
1.674664125E0;5.089416504E-2;8.442443848E-1;1.031055908E1;1.034519054E1
1.684643125E0;9.083111572E-1;1.710193634E0;8.662186890E0;8.875994205E0
1.694623125E0;4.191284180E-1;9.650431824E-1;1.067969147E1;1.073139258E1
1.704602125E0;-5.406756592E-1;4.043092346E-1;8.457113342E0;8.484018046E0
1.714582125E0;7.679031372E-2;4.363426208E-1;1.088401657E1;1.089303026E1
1.724561125E0;-2.240840149E-1;2.709365845E-2;9.821675720E0;9.824269014E0
1.734541125E0;7.589218140E-2;6.054908752E-1;9.266330566E0;9.286401940E0
