"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.394520000E-1;9.535171509E-2;6.197113037E-2;9.464967499E0;9.465650644E0
6.494310000E-1;8.427474976E-2;6.481521606E-2;9.737400970E0;9.737981357E0
6.594100000E-1;6.915618896E-2;5.882766724E-2;1.001297791E1;1.001338953E1
6.693890000E-1;7.289840698E-2;6.721023560E-2;9.953850861E0;9.954344697E0
6.793690000E-1;7.708969116E-2;7.155120850E-2;9.706415405E0;9.706985238E0
6.893480000E-1;8.771759033E-2;7.185058594E-2;9.518106995E0;9.518782361E0
6.993270000E-1;8.622070312E-2;6.227050781E-2;9.713151398E0;9.713733664E0
7.093070000E-1;6.795867920E-2;6.047424316E-2;1.002914429E1;1.002955685E1
7.192860000E-1;6.721023560E-2;6.197113037E-2;9.942474518E0;9.942894809E0
7.292650000E-1;8.861572266E-2;7.604187012E-2;9.701775055E0;9.702477742E0
7.392450000E-1;8.277786255E-2;6.975494385E-2;9.524693298E0;9.525308413E0
7.492240000E-1;8.262817383E-2;5.807922363E-2;9.741143188E0;9.741666758E0
7.592030000E-1;8.472381592E-2;6.122268677E-2;9.957144012E0;9.957692666E0
7.691830000E-1;7.469467163E-2;6.197113037E-2;9.944420471E0;9.944894078E0
7.791620000E-1;7.469467163E-2;7.005432129E-2;9.707313538E0;9.707853677E0
7.891410000E-1;9.759704590E-2;6.765930176E-2;9.556726685E0;9.557464511E0
7.991210000E-1;7.768844604E-2;6.676116943E-2;9.749376068E0;9.749914167E0
8.091000000E-1;7.110214233E-2;5.792953491E-2;9.976154480E0;9.976576044E0
8.190790000E-1;8.307723999E-2;5.807922363E-2;9.916578369E0;9.917096429E0
8.290580000E-1;8.232879639E-2;7.170089722E-2;9.683513031E0;9.684128441E0
8.390380000E-1;8.756790161E-2;6.526428223E-2;9.584568787E0;9.585190994E0
8.490170000E-1;7.993377686E-2;6.331832886E-2;9.756112061E0;9.756644974E0
8.589960000E-1;7.753875732E-2;6.152206421E-2;9.966724091E0;9.967215575E0
8.689760000E-1;8.472381592E-2;6.092330933E-2;9.911488953E0;9.912038289E0
8.789550000E-1;8.427474976E-2;6.750961304E-2;9.718689880E0;9.719289726E0
8.889340000E-1;8.068222046E-2;6.601272583E-2;9.626781006E0;9.627345420E0
8.989140000E-1;8.412506104E-2;6.451583862E-2;9.763596497E0;9.764172052E0
9.088930000E-1;7.334747314E-2;6.301895142E-2;9.926457825E0;9.926928840E0
9.188720000E-1;7.244934082E-2;5.882766724E-2;9.903555450E0;9.903995162E0
9.288520000E-1;8.966354370E-2;6.286926270E-2;9.725276184E0;9.725892707E0
9.388310000E-1;8.801696777E-2;6.855743408E-2;9.652677155E0;9.653321882E0
9.488100000E-1;8.442443848E-2;6.706054688E-2;9.761351166E0;9.761946588E0
9.587900000E-1;7.574249268E-2;6.346801758E-2;9.882000275E0;9.882494348E0
9.687690000E-1;7.244934082E-2;6.152206421E-2;9.870474243E0;9.870931853E0
9.787480000E-1;8.711883545E-2;6.541397095E-2;9.724827118E0;9.725437324E0
9.887270000E-1;8.637039185E-2;7.095245361E-2;9.670340424E0;9.670986403E0
9.987070000E-1;8.696914673E-2;6.421646118E-2;9.758357391E0;9.758956213E0
1.008686000E0;7.155120850E-2;6.945556641E-2;9.873318329E0;9.873821878E0
1.018665000E0;7.110214233E-2;6.750961304E-2;9.855355682E0;9.855843378E0
1.028645000E0;7.664062500E-2;6.930587769E-2;9.762398987E0;9.762945819E0
1.038624000E0;7.589218140E-2;6.301895142E-2;9.714199219E0;9.714700071E0
1.048603000E0;8.457412720E-2;6.271957397E-2;9.780511322E0;9.781078072E0
1.058583000E0;7.963439941E-2;6.541397095E-2;9.839189301E0;9.839728996E0
1.068562000E0;7.514373779E-2;7.244934082E-2;9.767189026E0;9.767746770E0
1.078541000E0;8.741821289E-2;6.017486572E-2;9.746232605E0;9.746810399E0
1.088521000E0;7.214996338E-2;5.358856201E-2;9.727222137E0;9.727637322E0
1.098500000E0;7.948471069E-2;5.388793945E-2;9.802964630E0;9.803434973E0
1.108479000E0;7.888595581E-2;6.646179199E-2;9.851014709E0;9.851554749E0
1.118459000E0;8.217910767E-2;6.855743408E-2;9.754465485E0;9.755052558E0
1.128438000E0;8.652008057E-2;7.514373779E-2;9.736353149E0;9.737027522E0
1.138417000E0;7.664062500E-2;6.242019653E-2;9.761949921E0;9.762450324E0
1.148397000E0;8.442443848E-2;8.607101440E-2;9.772278442E0;9.773022135E0
1.158376000E0;1.682501221E-1;4.158352661E-1;9.835147705E0;9.845372388E0
1.168355000E0;6.378236389E-1;2.157313843E0;9.827363892E0;1.008156253E1
1.178334000E0;6.334826660E-1;2.359094238E0;9.580676880E0;9.887163162E0
1.188314000E0;2.806663513E-1;1.652713165E0;9.749525757E0;9.892597581E0
1.198293000E0;2.083666992E-1;1.231638794E0;9.863289185E0;9.942073443E0
1.208272000E0;2.691403198E-1;9.725276184E-1;9.809850311E0;9.861612931E0
1.218252000E0;3.835025024E-1;9.032217407E-1;9.767787781E0;9.816952776E0
1.228231000E0;5.586383057E-1;1.014141083E0;9.786199493E0;9.854453786E0
1.238210000E0;6.715036011E-1;1.073417816E0;9.781259766E0;9.862869030E0
1.248190000E0;6.158193970E-1;8.496331787E-1;9.884844360E0;9.940385209E0
1.258169000E0;3.983216858E-1;5.402265930E-1;9.796228638E0;9.819195510E0
1.268148000E0;-9.250762939E-2;1.405577087E-1;9.794432373E0;9.795877686E0
1.278128000E0;-1.018032990E0;-1.565744019E-1;9.817035370E0;9.870921445E0
1.288106917E0;-1.194515991E0;1.716929626E-1;9.580976257E0;9.656679190E0
1.298085917E0;-1.026565247E0;-2.682421875E-1;9.881700897E0;9.938501029E0
1.308065917E0;-6.584806824E-1;-8.888516235E-1;9.744735718E0;9.807320135E0
1.318044917E0;-3.007246399E-1;-8.744815063E-1;9.829160156E0;9.872565147E0
1.328023917E0;-3.278182983E-2;-3.664379883E-1;9.779762878E0;9.786680408E0
1.338002917E0;1.826202393E-1;4.857398987E-1;9.810898132E0;9.824612744E0
1.347982917E0;2.628533936E-1;1.346599731E0;9.817035370E0;9.912447034E0
1.357961917E0;3.489244080E-1;1.758243713E0;9.771979065E0;9.935026122E0
1.367940917E0;2.445913696E-1;1.700014801E0;9.748328247E0;9.898473563E0
1.377920917E0;-1.113684082E-1;1.239871674E0;9.772278442E0;9.851249192E0
1.387899917E0;-4.511618042E-1;7.936495972E-1;9.764195251E0;9.806780081E0
1.397878917E0;-8.120613098E-1;4.514611816E-1;9.780062256E0;9.824096829E0
1.407858917E0;-1.075812836E0;2.619552612E-2;9.825417938E0;9.884174074E0
1.417837917E0;-1.028062134E0;-2.035766602E-1;9.704319763E0;9.760746758E0
1.427816917E0;-4.475692749E-1;-4.071533203E-2;9.780661011E0;9.790980840E0
1.437796917E0;3.629951477E-1;3.674858093E-1;9.834698639E0;9.848254090E0
1.447775917E0;9.707313538E-1;8.455915833E-1;9.825867004E0;9.909843938E0
1.457754917E0;1.266366577E0;1.250050507E0;9.807904358E0;9.968013768E0
1.467734917E0;1.281784515E0;1.419198761E0;9.775272217E0;9.960574460E0
1.477713917E0;6.786886597E-1;1.354084167E0;9.720486145E0;9.837784970E0
1.487692917E0;7.185058594E-3;1.046324158E0;9.766440582E0;9.822332081E0
1.497671917E0;-3.984713745E-1;6.944059753E-1;9.792935486E0;9.825607591E0
1.507651917E0;-6.210585022E-1;6.168672180E-1;9.743089142E0;9.782332281E0
1.517630917E0;-6.107299805E-1;6.957531738E-1;9.825268250E0;9.868787148E0
1.527609917E0;-2.921923828E-1;7.764353943E-1;9.738897858E0;9.774167985E0
1.537589917E0;3.891906738E-2;8.556207275E-1;9.745184784E0;9.782751555E0
1.547568917E0;2.718347168E-1;1.033750305E0;9.882599030E0;9.940236284E0
1.557547917E0;4.567002869E-1;1.083896027E0;9.757908325E0;9.828539089E0
1.567527917E0;3.661386108E-1;8.231382751E-1;9.790390778E0;9.831752930E0
1.577506917E0;3.320095825E-1;5.727090454E-1;9.719438324E0;9.741956033E0
1.587485917E0;3.245251465E-1;5.712121582E-1;9.825118561E0;9.847058172E0
1.597465917E0;3.990701294E-1;5.063969421E-1;9.752220154E0;9.773509746E0
1.607444917E0;5.251080322E-1;5.057981873E-1;9.819430389E0;9.846460452E0
1.617423917E0;7.161108398E-1;4.685256958E-1;9.738149414E0;9.775678241E0
1.627403917E0;8.586145020E-1;3.412902832E-1;9.787546692E0;9.831061396E0
1.637382917E0;8.740324402E-1;3.471281433E-1;9.783056030E0;9.828154249E0
1.647361917E0;5.664221191E-1;5.007087708E-1;9.786049805E0;9.815208305E0
1.657340917E0;2.082170105E-1;7.590715027E-1;9.778116302E0;9.809745272E0
1.667320917E0;1.796264648E-1;8.894503784E-1;9.760453033E0;9.802542071E0
1.677299917E0;1.555265808E-1;8.907975769E-1;9.804311829E0;9.845925009E0
1.687278917E0;-1.341210938E-1;7.764353943E-1;9.843081207E0;9.874567740E0
1.697258917E0;-2.703378296E-1;4.296066284E-1;9.774224396E0;9.787395309E0
1.707237917E0;-1.694476318E-1;1.889071655E-1;9.751920776E0;9.755222050E0
1.717216917E0;2.266287231E-1;8.053253174E-2;9.754166107E0;9.757130855E0
1.727196917E0;5.676196289E-1;6.840774536E-2;9.812544708E0;9.829186401E0
1.737175917E0;8.202941895E-1;2.146536255E-1;9.793085175E0;9.829724105E0
1.747154917E0;6.135740662E-1;2.586621094E-1;9.828411713E0;9.850941885E0
1.757134917E0;-2.993774414E-4;3.513194275E-1;9.747879181E0;9.754208013E0
1.767113917E0;-5.153782654E-1;4.953199768E-1;9.719138947E0;9.745389602E0
1.777092917E0;-7.298822021E-1;4.516108704E-1;9.842931519E0;9.880282450E0
1.787072917E0;-7.572752380E-1;2.480342102E-1;9.799222412E0;9.831568880E0
1.797051917E0;-4.939727783E-1;1.357676697E-1;9.802365875E0;9.815743411E0
1.807030917E0;-3.330574036E-1;5.782475281E-1;9.783804474E0;9.806534934E0
1.817009917E0;-3.480262756E-1;1.175056458E0;9.766590271E0;9.843178627E0
1.826989917E0;-1.655557251E-1;1.459015961E0;9.801318054E0;9.910699868E0
1.836968917E0;1.435514832E-1;1.336720276E0;9.721683655E0;9.814202016E0
1.846947917E0;4.559518433E-1;7.342231750E-1;9.803563385E0;9.841586803E0
1.856927917E0;6.277944946E-1;1.826202393E-1;9.728719025E0;9.750664077E0
1.866906917E0;4.616400146E-1;-2.784210205E-2;9.808952179E0;9.819848753E0
1.876885917E0;-1.785786438E-1;-2.483335876E-1;9.793085175E0;9.797860845E0
1.886865917E0;-9.148974609E-1;-3.176394653E-1;9.749974823E0;9.797955973E0
1.896844917E0;-1.110839996E0;2.589614868E-2;9.850266266E0;9.912738351E0
1.906823917E0;-7.158114624E-1;3.135978699E-1;9.768985291E0;9.800194043E0
1.916803917E0;7.828720093E-2;3.808081055E-1;9.834399261E0;9.842080701E0
1.926782917E0;6.218069458E-1;2.383044434E-1;9.773625641E0;9.796284554E0
1.936761917E0;6.271957397E-1;8.532257080E-2;9.823921051E0;9.844291709E0
1.946741917E0;5.137316895E-1;1.231938171E-1;9.721683655E0;9.736027426E0
1.956720917E0;2.682421875E-1;1.522334290E-1;9.750872955E0;9.755749704E0
1.966699917E0;3.017724609E-1;3.188369751E-2;9.791438599E0;9.796139700E0
1.976679917E0;1.944456482E-1;9.714797974E-2;9.811796265E0;9.814203624E0
1.986658917E0;-3.522175598E-1;1.992356873E-1;9.772577820E0;9.780952372E0
1.996637917E0;-8.482859802E-1;1.886077881E-2;9.663305054E0;9.700485008E0
2.006617917E0;-7.542814636E-1;1.005908203E-1;9.873767395E0;9.903047087E0
2.016596917E0;-6.168672180E-1;2.865042114E-1;9.813293152E0;9.836835483E0
2.026575917E0;-1.445993042E-1;3.971241760E-1;9.776469727E0;9.785600487E0
2.036554917E0;4.004173279E-1;4.441264343E-1;9.752220154E0;9.770536334E0
2.046534917E0;3.547622681E-1;2.025288391E-1;9.843979340E0;9.852451646E0
2.056513917E0;3.796105957E-1;1.669029236E-1;9.768236847E0;9.777034923E0
2.066492917E0;3.517684937E-2;9.610015869E-2;9.814191284E0;9.814724816E0
2.076472917E0;7.604187012E-2;7.364685059E-2;9.783205719E0;9.783778430E0
2.086451917E0;5.284011841E-2;1.377136230E-2;9.824819183E0;9.824970927E0
2.096430917E0;2.938389587E-1;2.284249878E-1;9.756261749E0;9.763358164E0
2.106410917E0;5.797444153E-1;3.442840576E-1;9.770182800E0;9.793421621E0
2.116389917E0;8.536747742E-1;9.759704590E-2;9.780062256E0;9.817734134E0
2.126368917E0;1.022972717E0;1.824705505E-1;9.812395020E0;9.867262270E0
2.136348917E0;6.007008362E-1;5.830375671E-1;9.728719025E0;9.764668359E0
2.146327917E0;2.486329651E-1;9.731263733E-1;9.778565369E0;9.830011900E0
2.156306917E0;-5.433700562E-2;9.289682007E-1;9.859546967E0;9.903363106E0
2.166286917E0;-6.592291260E-1;7.222480774E-1;9.693991241E0;9.743186928E0
2.176265917E0;-9.259744263E-1;-3.842509460E-1;9.854607239E0;9.905471279E0
2.186244917E0;-1.152603149E0;-1.013991394E0;9.801916809E0;9.921403414E0
2.196223917E0;-9.669891357E-1;-9.610015869E-1;9.797426147E0;9.891822438E0
2.206203917E0;-3.011737061E-1;-4.487667847E-1;9.752220154E0;9.767184607E0
2.216182917E0;2.707868958E-1;1.133143616E-1;9.756411438E0;9.760826289E0
2.226161917E0;5.819897461E-1;5.990542603E-1;9.845476227E0;9.880839044E0
2.236141917E0;1.115031281E0;6.843768311E-1;9.823322296E0;9.910061924E0
2.246120917E0;9.376501465E-1;4.218228149E-1;9.777966614E0;9.831874358E0
2.256099917E0;-1.055305481E-1;2.980302429E-1;9.717192993E0;9.722335028E0
2.266079917E0;-9.472302246E-1;4.149371338E-1;9.692344666E0;9.747356721E0
2.276058917E0;-1.107846222E0;5.571414185E-1;9.827064514E0;9.904995042E0
2.286037917E0;-9.142987061E-1;7.110214233E-1;9.980046387E0;1.004703038E1
2.296018625E0;-2.918930054E-1;8.222401428E-1;9.741292877E0;9.780289735E0
2.305997625E0;5.186714172E-1;6.402186584E-1;9.680818634E0;9.715819543E0
2.315976625E0;7.451504517E-1;5.843847656E-1;9.754615173E0;9.800473046E0
2.325956625E0;9.689350891E-1;6.641688538E-1;9.796078949E0;9.866261615E0
2.335935625E0;9.677375793E-1;6.710545349E-1;9.851014709E0;9.921155226E0
2.345914625E0;7.035369873E-1;8.580157471E-1;9.768835602E0;9.831648098E0
2.355893625E0;3.071612549E-1;1.141825562E0;9.725425873E0;9.797041495E0
2.365873625E0;-5.074447632E-2;9.240284729E-1;9.703870697E0;9.747897728E0
2.375852625E0;-4.709207153E-1;3.823049927E-1;9.813742218E0;9.832469667E0
2.385831625E0;-6.930587769E-1;2.577639771E-1;9.870623932E0;9.898282151E0
2.395811625E0;-2.055226135E-1;2.700384521E-1;9.760153656E0;9.766051387E0
2.405790625E0;5.041516113E-1;-4.790039062E-3;9.747579803E0;9.760609808E0
2.415769625E0;1.048719177E0;-1.386117554E-1;9.690698090E0;9.748264184E0
2.425749625E0;8.937913513E-1;1.706451416E-2;9.817634125E0;9.858250047E0
2.435728625E0;6.264472961E-1;-1.055305481E-1;9.853858795E0;9.874315473E0
2.445707625E0;3.448828125E-1;3.191363525E-1;9.820178833E0;9.831414165E0
2.455687625E0;1.178050232E-1;6.227050781E-1;9.744286652E0;9.764873885E0
2.465666625E0;-3.014730835E-1;7.996371460E-1;9.781708832E0;9.818968034E0
2.475645625E0;-4.487667847E-1;8.189469910E-1;9.818981323E0;9.863288500E0
2.485625625E0;-4.414320374E-1;5.565426636E-1;9.799072723E0;9.824786421E0
2.495604625E0;-7.454498291E-2;1.667532349E-1;9.742939453E0;9.744651496E0
2.505583625E0;9.093589783E-1;1.841171265E-2;9.697134705E0;9.739696824E0
2.515563625E0;1.531914368E0;-1.802252197E-1;9.751771088E0;9.873007754E0
2.525542625E0;1.470541992E0;-3.870950317E-1;9.752669220E0;9.870506230E0
2.535521625E0;1.107546844E0;-2.835104370E-1;9.905950470E0;9.971704613E0
2.545500625E0;7.262896729E-1;-2.829116821E-2;9.747729492E0;9.774790398E0
2.555480625E0;-7.768844604E-2;-1.624122620E-1;9.835147705E0;9.836795394E0
2.565459625E0;-9.889933777E-1;-6.381230164E-1;9.704170074E0;9.775286478E0
2.575438625E0;-1.220861206E0;-2.514770508E-1;9.820478210E0;9.899269421E0
2.585418625E0;-1.222507782E0;2.794688416E-1;9.863738251E0;9.943136346E0
2.595397625E0;-1.019978943E0;5.490582275E-1;9.792037354E0;9.860315285E0
2.605376625E0;-2.109114075E-1;7.569758606E-1;9.736203461E0;9.767863323E0
2.615356625E0;7.949967957E-1;7.997868347E-1;9.730664978E0;9.795790923E0
2.625335625E0;1.416055298E0;6.355783081E-1;9.791737976E0;9.913995410E0
2.635314625E0;1.366358643E0;6.328839111E-1;9.835596771E0;9.950198080E0
2.645294625E0;7.447013855E-1;2.960842896E-1;9.779164124E0;9.811946648E0
2.655273625E0;3.059637451E-1;1.986369324E-1;9.706415405E0;9.713267754E0
2.665252625E0;4.281097412E-2;5.987548828E-4;9.770182800E0;9.770276613E0
2.675232625E0;-9.116043091E-2;-1.053808594E-1;9.823022919E0;9.824011126E0
2.685211625E0;-3.126997375E-1;-1.178050232E-1;9.773775330E0;9.779485842E0
2.695190625E0;-3.814517670E0;-6.721023560E-1;9.833201752E0;1.056854405E1
2.705169625E0;-6.945556641E-2;-4.746629333E-1;9.843530273E0;9.855212693E0
2.715149625E0;-2.588117981E-1;-6.156697083E-1;9.744735718E0;9.767594737E0
2.725128625E0;2.769241333E-2;-5.122348022E-1;9.790390778E0;9.803820834E0
2.735107625E0;-2.694396973E-2;-4.116439819E-1;9.790540466E0;9.799227488E0
2.745087625E0;4.445755005E-2;-4.197271729E-1;9.809550934E0;9.818627037E0
2.755066625E0;8.801696777E-2;-1.722917175E-1;9.782307587E0;9.784220620E0
2.765045625E0;-7.828720093E-2;1.692979431E-1;9.828561401E0;9.830331119E0
2.775025625E0;2.679428101E-2;2.418969727E-1;9.724827118E0;9.727872046E0
2.785004625E0;-2.435435486E-1;7.723937988E-2;9.790540466E0;9.793873698E0
2.794983625E0;-4.291575623E-1;-1.751358032E-1;9.829309845E0;9.840232761E0
2.804963625E0;-6.888674927E-1;-2.522254944E-1;9.746531982E0;9.774100563E0
2.814942625E0;-8.167016602E-1;-9.550140381E-2;9.780361633E0;9.814866061E0
2.824921625E0;-9.186396790E-1;1.267863464E-1;9.827812958E0;9.871468035E0
2.834901625E0;-5.385800171E-1;1.067280579E-1;9.775272217E0;9.790679559E0
2.844880625E0;2.888992310E-1;-8.113128662E-2;9.877359924E0;9.881917027E0
2.854859625E0;9.063652039E-1;3.059637451E-1;9.680369568E0;9.727521096E0
2.864839625E0;1.123862915E0;4.583468628E-1;9.823322296E0;9.898020541E0
2.874818625E0;9.093589783E-1;6.683601379E-1;9.730066223E0;9.795296204E0
2.884797625E0;6.375242615E-1;8.448431396E-1;9.803563385E0;9.860530014E0
2.894776625E0;2.944377136E-1;9.830058289E-1;9.811047821E0;9.864565544E0
2.904756625E0;3.158432007E-2;7.846682739E-1;9.752070465E0;9.783638394E0
2.914735625E0;-1.284329224E-1;4.186793518E-1;9.736802216E0;9.746645823E0
2.924714625E0;-1.119671631E-1;3.182382202E-1;9.774823151E0;9.780643120E0
2.934694625E0;1.103205872E-1;2.558180237E-1;9.773625641E0;9.777595393E0
2.944673625E0;3.918850708E-1;3.080593872E-1;9.853110352E0;9.865711231E0
2.954652625E0;4.162843323E-1;4.656816101E-1;9.753118286E0;9.773099217E0
2.964632625E0;3.365002441E-1;6.765930176E-2;9.764943695E0;9.770974136E0
2.974611625E0;2.692900085E-1;-4.987628174E-1;9.719737701E0;9.736250944E0
2.984590625E0;1.913021851E-1;-4.900808716E-1;9.834249573E0;9.848311553E0
2.994570625E0;6.391708374E-2;-3.697311401E-1;9.867330780E0;9.874462174E0
3.004549625E0;-1.856140137E-2;-2.332150269E-1;9.780361633E0;9.783159380E0
3.014528625E0;-1.963916016E-1;-2.778222656E-1;9.812694397E0;9.818590846E0
3.024508625E0;-3.713777161E-1;-5.066963196E-1;9.751322021E0;9.771537429E0
3.034487625E0;1.034349060E-1;-1.441502380E-1;9.803713074E0;9.805318358E0
3.044466625E0;-7.065307617E-2;-2.993774414E-4;9.785600739E0;9.785855801E0
3.054446625E0;-2.959346008E-1;4.116439819E-2;9.833650818E0;9.838188868E0
3.064425625E0;-3.008743286E-1;1.203497314E-1;9.807904358E0;9.813256203E0
3.074404625E0;7.783813477E-3;-1.026864624E-1;9.759554901E0;9.760098205E0
3.084383625E0;4.713697815E-1;-3.303630066E-1;9.779613190E0;9.796538334E0
3.094363625E0;8.484356689E-1;-3.909869385E-1;9.768685913E0;9.813253199E0
3.104342625E0;1.253643036E0;-4.218228149E-1;9.761351166E0;9.850559981E0
3.114321625E0;1.466949463E0;-2.089654541E-1;9.828112335E0;9.939185045E0
3.124301625E0;1.453776855E0;-2.010319519E-1;9.791438599E0;9.900815664E0
3.134280625E0;1.114731903E0;-1.848655701E-1;9.824669495E0;9.889435432E0
3.144259625E0;6.108796692E-1;7.469467163E-2;9.708810425E0;9.728296517E0
3.154239625E0;2.703378296E-1;3.891906738E-3;9.731563110E0;9.735318087E0
3.164218625E0;1.820214844E-1;-2.906954956E-1;9.776918793E0;9.782932933E0
3.174197625E0;2.058219910E-1;-8.143066406E-2;9.875114594E0;9.877594944E0
3.184177625E0;2.281256104E-1;1.963916016E-1;9.790690155E0;9.795316466E0
3.194156625E0;1.977388000E-1;1.339714050E-1;9.742939453E0;9.745866722E0
3.204135625E0;-1.377136230E0;-4.227209473E-1;9.801916809E0;9.907207999E0
3.214115625E0;-1.406026154E0;-9.512718201E-1;9.736951904E0;9.883828206E0
3.224094625E0;3.655398560E-1;-2.233355713E-1;9.833950195E0;9.843275604E0
3.234073625E0;-1.348695374E-1;-3.053649902E-1;9.765542450E0;9.771246436E0
3.244052625E0;-1.164578247E-1;-4.337979126E-1;9.974657593E0;9.984765252E0
