"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.277502917E-1;1.022373962E-1;5.014572144E-2;9.788145447E0;9.788807811E0
6.377292917E-1;1.014889526E-1;4.281097412E-2;9.791887665E0;9.792507178E0
6.477082917E-1;1.073268127E-1;5.328918457E-2;9.780810699E0;9.781544700E0
6.576882917E-1;1.016386414E-1;5.298980713E-2;9.783804474E0;9.784475884E0
6.676672917E-1;1.052311707E-1;5.209167480E-2;9.783954163E0;9.784658716E0
6.776462917E-1;1.020877075E-1;4.924758911E-2;9.787696381E0;9.788352653E0
6.876252917E-1;1.062789917E-1;4.131408691E-2;9.791438599E0;9.792102527E0
6.976052917E-1;1.020877075E-1;4.805007935E-2;9.787546692E0;9.788197023E0
7.075842917E-1;1.074765015E-1;4.834945679E-2;9.773625641E0;9.774336143E0
7.175632917E-1;1.077758789E-1;5.942642212E-2;9.786199493E0;9.786973366E0
7.275422917E-1;9.834548950E-2;5.523513794E-2;9.786199493E0;9.786849507E0
7.375212917E-1;9.939331055E-2;5.269042969E-2;9.787097626E0;9.787744135E0
7.475012917E-1;9.834548950E-2;4.221221924E-2;9.785451050E0;9.786036274E0
7.574802917E-1;1.049317932E-1;4.954696655E-2;9.785750427E0;9.786438423E0
7.674592917E-1;1.004411316E-1;4.819976807E-2;9.791737976E0;9.792371737E0
7.774382917E-1;1.047821045E-1;5.358856201E-2;9.781858521E0;9.782566490E0
7.874172917E-1;1.122665405E-1;4.266128540E-2;9.789642334E0;9.790378991E0
7.973972917E-1;1.023870850E-1;4.819976807E-2;9.785301361E0;9.785955705E0
8.073762917E-1;9.505233765E-2;4.520599365E-2;9.793384552E0;9.793950149E0
8.173552917E-1;1.020877075E-1;4.730163574E-2;9.780960388E0;9.781607509E0
8.273342917E-1;1.026864624E-1;4.715194702E-2;9.779014435E0;9.779667230E0
8.373132917E-1;1.031355286E-1;5.284011841E-2;9.780361633E0;9.781048139E0
8.472932917E-1;9.684860229E-2;4.640350342E-2;9.788744202E0;9.789333276E0
8.572722917E-1;1.044827271E-1;4.700225830E-2;9.792187042E0;9.792857240E0
8.672512917E-1;9.954299927E-2;4.954696655E-2;9.786199493E0;9.786831164E0
8.772302917E-1;1.002914429E-1;5.433700562E-2;9.790241089E0;9.790905549E0
8.872102917E-1;1.068777466E-1;4.475692749E-2;9.786648560E0;9.787334472E0
8.971892917E-1;1.028361511E-1;4.221221924E-2;9.789342957E0;9.789974089E0
9.071682917E-1;1.098715210E-1;5.538482666E-2;9.782906342E0;9.783680070E0
9.171472917E-1;1.007405090E-1;5.134323120E-2;9.787097626E0;9.787750748E0
9.271262917E-1;9.535171509E-2;5.209167480E-2;9.776769104E0;9.777372838E0
9.371062917E-1;1.010398865E-1;5.807922363E-2;9.790690155E0;9.791383762E0
9.470852917E-1;9.864486694E-2;4.355941772E-2;9.781559143E0;9.782153521E0
9.570642917E-1;1.067280579E-1;4.385879517E-2;9.786349182E0;9.787029416E0
9.670432917E-1;1.050814819E-1;5.523513794E-2;9.786648560E0;9.787368547E0
9.770222917E-1;1.014889526E-1;4.864883423E-2;9.796228638E0;9.796875126E0
9.870022917E-1;1.074765015E-1;5.448669434E-2;9.771979065E0;9.772721977E0
9.969812917E-1;1.041833496E-1;4.490661621E-2;9.780361633E0;9.781019602E0
1.006960292E0;9.595046997E-2;4.834945679E-2;9.791588287E0;9.792177763E0
1.016939292E0;1.073268127E-1;5.373825073E-2;9.784103851E0;9.784840061E0
1.026918292E0;1.037342834E-1;4.326004028E-2;9.783954163E0;9.784599700E0
1.036898292E0;9.819580078E-2;4.520599365E-2;9.776769104E0;9.777366727E0
1.046877292E0;1.055305481E-1;5.433700562E-2;9.789342957E0;9.790062550E0
1.056856292E0;9.759704590E-2;5.044509888E-2;9.782008209E0;9.782625133E0
1.066835292E0;1.061293030E-1;4.954696655E-2;9.780810699E0;9.781511962E0
1.076815292E0;1.028361511E-1;4.595443726E-2;9.785301361E0;9.785949612E0
1.086794292E0;9.894424438E-2;4.954696655E-2;9.799821167E0;9.800445897E0
1.096773292E0;9.879455566E-2;5.029541016E-2;9.791887665E0;9.792515205E0
1.106752292E0;1.038839722E-1;4.730163574E-2;9.780960388E0;9.781626421E0
1.116731292E0;1.140628052E-1;4.355941772E-2;9.778565369E0;9.779327605E0
1.126711292E0;1.004411316E-1;4.640350342E-2;9.783205719E0;9.783831348E0
1.136690292E0;1.035845947E-1;5.014572144E-2;9.782606964E0;9.783283875E0
1.146669292E0;1.043330383E-1;4.445755005E-2;9.786648560E0;9.787305650E0
1.156648292E0;9.789642334E-2;4.655319214E-2;9.785750427E0;9.786350818E0
1.166627292E0;1.094224548E-1;4.790039063E-2;9.786199493E0;9.786928438E0
1.176607292E0;1.088237000E-1;4.819976807E-2;9.782457275E0;9.783181290E0
1.186586292E0;9.954299927E-2;5.014572144E-2;9.777966614E0;9.778601868E0
1.196565292E0;1.059796143E-1;4.999603271E-2;9.782008209E0;9.782710048E0
1.206544292E0;1.046324158E-1;3.757186890E-2;9.778265991E0;9.778897964E0
1.216523292E0;9.909393311E-2;5.658233643E-2;9.794731750E0;9.795396431E0
1.226503292E0;1.044827271E-1;5.343887329E-2;9.780960388E0;9.781664402E0
1.236482292E0;9.804611206E-2;4.745132446E-2;9.790540466E0;9.791146373E0
1.246461292E0;1.019380188E-1;4.565505981E-2;9.789193268E0;9.789830467E0
1.256440292E0;9.595046997E-2;4.864883423E-2;9.792785797E0;9.793376684E0
1.266419292E0;9.699829102E-2;5.508544922E-2;9.787846069E0;9.788481688E0
1.276399292E0;9.909393311E-2;4.805007935E-2;9.778415680E0;9.779035823E0
1.286378292E0;1.041833496E-1;5.388793945E-2;9.787846069E0;9.788548859E0
1.296357292E0;9.939331055E-2;4.625381470E-2;9.780960388E0;9.781574749E0
1.306336292E0;1.068777466E-1;4.700225830E-2;9.787846069E0;9.788542422E0
1.316316292E0;1.055305481E-1;5.029541016E-2;9.782457275E0;9.783155762E0
1.326295292E0;9.879455566E-2;4.864883423E-2;9.779463501E0;9.780083509E0
1.336274292E0;-2.095642090E-1;8.232879639E-3;9.785451050E0;9.787698258E0
1.346253292E0;-2.406246185E0;-1.110690308E-1;9.809101868E0;1.010053645E1
